Author,Movie,Userscore
Moviebuffreview,cowboys-aliens,7
Compi24,margin-call,8
joseap84,hugo,9
Compi24,the-girl-with-the-dragon-tattoo-2011,8
pabloaimar,warrior,9
Moviebuffreview,mr-poppers-penguins,6
asylumspadez,30-minutes-or-less,6
Compi24,the-ides-of-march,8
MovieManiac83,the-girl-with-the-dragon-tattoo-2011,9
Compi24,the-debt,8
MovieGuys,the-debt,9
spadenx,warrior,7
spadenx,fright-night,7
Moviebuffreview,the-green-hornet,6
Broyax,ip-man-2,6
asylumspadez,the-hangover-part-ii,7
Compi24,fright-night,8
Spangle,warrior,8
aaronpaul121,the-rite,7
sinadoom,the-mechanic,6
spadenx,hall-pass,6
Compi24,mission-impossible---ghost-protocol,10
Spangle,midnight-in-paris,8
aadityamudhar,kung-fu-panda-2,7
aadityamudhar,mission-impossible---ghost-protocol,8
Spangle,blue-valentine,9
Compi24,moneyball,9
MovieGuys,moneyball,9
MovieGuys,inside-job,8
MovieManiac83,the-amazing-spider-man,6
Compi24,the-next-three-days,7
RegOz,life-as-we-know-it,7
MovieGuys,the-next-three-days,8
Compi24,cowboys-aliens,6
aadityamudhar,the-amazing-spider-man,6
Compi24,jackass-3-d,7
spadenx,the-hangover-part-ii,7
Moviebuffreview,paranormal-activity-2,9
sinadoom,the-social-network,6
Spangle,cowboys-aliens,7
Compi24,the-hunger-games,8
Compi24,the-green-hornet,7
Compi24,unstoppable,8
MovieGuys,unstoppable,7
Spangle,127-hours,7
MovieGuys,the-hangover-part-ii,8
MovieGuys,the-green-hornet,7
Compi24,paranormal-activity-2,6
Marick,the-hangover-part-ii,6
Compi24,127-hours,10
aaronpaul121,tangled,7
RegOz,the-last-exorcism,8
sinadoom,knight-and-day,6
asylumspadez,meet-the-parents,8
JohnnyStephens,the-last-exorcism,7
Spangle,the-american,6
JohnnyStephens,the-american,7
aadityamudhar,meet-the-parents,7
Compi24,machete,7
TheWalrus2000,machete,7
MovieGuys,the-american,7
Spangle,valhalla-rising,8
spadenx,dinner-for-schmucks,6
aadityamudhar,machete,7
Compi24,dinner-for-schmucks,6
Spangle,centurion,7
MovieGuys,the-sorcerers-apprentice,6
axelkoch,the-girl-who-played-with-fire,7
MovieGuys,knight-and-day,6
Compi24,toy-story-3,10
spadenx,the-other-guys,7
Marick,despicable-me,8
Spangle,the-other-guys,7
Compi24,the-other-guys,7
MovieGuys,the-other-guys,7
Broyax,resident-evil-afterlife,8
Compi24,the-losers,6
Spangle,winters-bone,6
RegOz,chloe,8
Schmit93,the-social-network,8
Compi24,the-town,8
Compi24,predators,6
spadenx,date-night,7
TheWalrus2000,predators,7
MovieGuys,the-town,9
MovieGuys,the-girl-with-the-dragon-tattoo,10
Compi24,date-night,6
Compi24,how-to-train-your-dragon,8
RegOz,when-in-rome,9
MovieGuys,date-night,6
Spangle,a-single-man,8
axelkoch,a-single-man,9
MovieGuys,how-to-train-your-dragon,6
Compi24,youth-in-revolt,6
Compi24,edge-of-darkness,6
Spangle,the-messenger,8
Compi24,from-paris-with-love,6
asylumspadez,daybreakers,7
sinadoom,inception,9
Compi24,daybreakers,7
Compi24,hot-tub-time-machine,7
Spangle,invictus,7
MovieGuys,invictus,9
Spangle,brothers,7
Spangle,an-education,8
aaronpaul121,the-princess-and-the-frog,7
PatrickM.,the-invention-of-lying,10
Spangle,the-book-of-eli,7
Compi24,the-blind-side,7
Compi24,the-book-of-eli,8
MovieGuys,alice-in-wonderland,6
Compi24,zombieland,10
Spangle,fantastic-mr-fox,8
axelkoch,moon,8
Moviebuffreview,zombieland,9
aaronpaul121,toy-story-3,10
asylumspadez,saw-vi,6
Spangle,a-serious-man,6
asylumspadez,shutter-island,7
sinadoom,shutter-island,6
Spangle,toy-story-3,9
Compi24,a-serious-man,8
MovieGuys,cloudy-with-a-chance-of-meatballs,6
Moviebuffreview,sherlock-holmes,8
MovieGuys,food-inc,8
Spangle,shutter-island,8
aaronpaul121,up,9
axelkoch,shutter-island,7
joao1198pedro,toy-story-3,7
Compi24,shutter-island,8
Spangle,sherlock-holmes,7
Compi24,sherlock-holmes,8
MovieGuys,shutter-island,8
MovieGuys,sherlock-holmes,9
Marick,shutter-island,9
MovieGuys,the-taking-of-pelham-1-2-3,7
Spangle,observe-and-report,6
MovieManiac83,toy-story-3,9
aadityamudhar,ice-age-dawn-of-the-dinosaurs,7
Broyax,pandorum,8
Compi24,i-love-you-man,7
spadenx,tyson,8
Spangle,moon,8
aaronpaul121,drag-me-to-hell,6
Compi24,moon,10
Spangle,sunshine-cleaning,7
Compi24,sunshine-cleaning,6
asylumspadez,observe-and-report,7
Compi24,observe-and-report,10
asylumspadez,gran-torino,9
asylumspadez,i-love-you-man,6
Spangle,the-international,7
Spangle,duplicity,6
spadenx,the-hurt-locker,9
RegOz,the-curious-case-of-benjamin-button,9
Spangle,adventureland,7
Broyax,jcvd,8
Spangle,revolutionary-road,8
asylumspadez,role-models,6
RegOz,the-boy-in-the-striped-pajamas,7
Moviebuffreview,friday-the-13th,6
spadenx,transformers-revenge-of-the-fallen,8
PatrickM.,punisher-war-zone,8
Compi24,taken,8
RegOz,blindness,9
Compi24,role-models,7
